計算対象,日付,内容,金額（円）,保有金融機関,大項目,中項目,メモ,振替,ID
1,2025/02/10,Notion 月額,-1200,テストカード,通信費,サブスク,,0,MF000034
1,2025/02/26,カード引落,-150000,テスト銀行 本人普通,その他,振替,,1,MF000035
0,2025/02/26,集計対象外テスト行,-9999,テスト銀行 本人普通,その他,未分類,,0,MF000036
1,2025/03/25,テスト商事 給与,285000,テスト銀行 本人普通,収入,給与,,0,MF000037
1,2025/03/25,テスト工業 給与,182000,テスト銀行 配偶者普通,収入,給与,,0,MF000038
1,2025/03/15,テストクライアント 入金,480000,テスト銀行 本人普通,収入,事業収入,,0,MF000039
1,2025/03/22,テストスーパー,-56132,テストカード,食費,食料品,,0,MF000040
1,2025/03/03,テスト食堂,-14412,テストカード,食費,外食,,0,MF000041
1,2025/03/04,テストドラッグ,-10859,テストカード,日用品,日用品,,0,MF000042
1,2025/03/05,テスト電力,-12310,テスト銀行 本人普通,水道・光熱費,電気代,,0,MF000043
1,2025/03/06,テストガス,-7827,テスト銀行 本人普通,水道・光熱費,ガス・水道,,0,MF000044
1,2025/03/07,テストモバイル,-9008,テストカード,通信費,携帯電話,,0,MF000045
1,2025/03/08,テスト不動産 家賃,-128000,テスト銀行 本人普通,住宅,家賃,,0,MF000046
1,2025/03/09,テスト書店,-3008,テストカード,趣味・娯楽,書籍,,0,MF000047
1,2025/03/10,テスト交通 IC チャージ,-6857,テストカード,交通費,電車,,0,MF000048
1,2025/03/10,Anthropic Claude 月額,-3000,テストカード,通信費,サブスク,,0,MF000049
1,2025/03/10,GitHub 月額,-1800,テストカード,通信費,サブスク,,0,MF000050
1,2025/03/10,Adobe CC 月額,-6480,テストカード,通信費,サブスク,,0,MF000051
1,2025/03/10,Notion 月額,-1200,テストカード,通信費,サブスク,,0,MF000052
1,2025/03/26,カード引落,-150000,テスト銀行 本人普通,その他,振替,,1,MF000053
0,2025/03/26,集計対象外テスト行,-9999,テスト銀行 本人普通,その他,未分類,,0,MF000054
1,2025/04/25,テスト商事 給与,285000,テスト銀行 本人普通,収入,給与,,0,MF000055
1,2025/04/25,テスト工業 給与,182000,テスト銀行 配偶者普通,収入,給与,,0,MF000056
1,2025/04/15,テストクライアント 入金,301803,テスト銀行 本人普通,収入,事業収入,,0,MF000057
1,2025/04/20,テストスーパー,-65324,テストカード,食費,食料品,,0,MF000058
1,2025/04/21,テスト食堂,-16583,テストカード,食費,外食,,0,MF000059
1,2025/04/22,テストドラッグ,-9978,テストカード,日用品,日用品,,0,MF000060
1,2025/04/03,テスト電力,-10252,テスト銀行 本人普通,水道・光熱費,電気代,,0,MF000061
1,2025/04/04,テストガス,-7057,テスト銀行 本人普通,水道・光熱費,ガス・水道,,0,MF000062
1,2025/04/05,テストモバイル,-8679,テストカード,通信費,携帯電話,,0,MF000063
1,2025/04/06,テスト不動産 家賃,-128000,テスト銀行 本人普通,住宅,家賃,,0,MF000064
1,2025/04/07,テスト書店,-2753,テストカード,趣味・娯楽,書籍,,0,MF000065
1,2025/04/08,テスト交通 IC チャージ,-5491,テストカード,交通費,電車,,0,MF000066
1,2025/04/10,Anthropic Claude 月額,-3000,テストカード,通信費,サブスク,,0,MF000067
1,2025/04/10,GitHub 月額,-1800,テストカード,通信費,サブスク,,0,MF000068
1,2025/04/10,Adobe CC 月額,-6480,テストカード,通信費,サブスク,,0,MF000069
1,2025/04/10,Notion 月額,-1200,テストカード,通信費,サブスク,,0,MF000070
1,2025/04/26,カード引落,-150000,テスト銀行 本人普通,その他,振替,,1,MF000071
0,2025/04/26,集計対象外テスト行,-9999,テスト銀行 本人普通,その他,未分類,,0,MF000072
1,2025/05/25,テスト商事 給与,285000,テスト銀行 本人普通,収入,給与,,0,MF000073
1,2025/05/25,テスト工業 給与,182000,テスト銀行 配偶者普通,収入,給与,,0,MF000074
1,2025/05/15,テストクライアント 入金,328389,テスト銀行 本人普通,収入,事業収入,,0,MF000075
1,2025/05/18,テストスーパー,-65928,テストカード,食費,食料品,,0,MF000076
1,2025/05/19,テスト食堂,-20171,テストカード,食費,外食,,0,MF000077
1,2025/05/20,テストドラッグ,-10224,テストカード,日用品,日用品,,0,MF000078
1,2025/05/21,テスト電力,-10907,テスト銀行 本人普通,水道・光熱費,電気代,,0,MF000079
1,2025/05/22,テストガス,-6772,テスト銀行 本人普通,水道・光熱費,ガス・水道,,0,MF000080
1,2025/05/03,テストモバイル,-8539,テストカード,通信費,携帯電話,,0,MF000081
1,2025/05/04,テスト不動産 家賃,-128000,テスト銀行 本人普通,住宅,家賃,,0,MF000082
1,2025/05/05,テスト書店,-4393,テストカード,趣味・娯楽,書籍,,0,MF000083
1,2025/05/06,テスト交通 IC チャージ,-5277,テストカード,交通費,電車,,0,MF000084
1,2025/05/10,Anthropic Claude 月額,-3000,テストカード,通信費,サブスク,,0,MF000085
1,2025/05/10,GitHub 月額,-1800,テストカード,通信費,サブスク,,0,MF000086
1,2025/05/10,Adobe CC 月額,-6480,テストカード,通信費,サブスク,,0,MF000087
1,2025/05/10,Notion 月額,-1200,テストカード,通信費,サブスク,,0,MF000088
1,2025/05/26,カード引落,-150000,テスト銀行 本人普通,その他,振替,,1,MF000089
0,2025/05/26,集計対象外テスト行,-9999,テスト銀行 本人普通,その他,未分類,,0,MF000090
1,2025/06/25,テスト商事 給与,285000,テスト銀行 本人普通,収入,給与,,0,MF000091
1,2025/06/25,テスト工業 給与,182000,テスト銀行 配偶者普通,収入,給与,,0,MF000092
1,2025/06/15,テストクライアント 入金,480000,テスト銀行 本人普通,収入,事業収入,,0,MF000093
1,2025/06/16,テストスーパー,-62655,テストカード,食費,食料品,,0,MF000094
1,2025/06/17,テスト食堂,-18660,テストカード,食費,外食,,0,MF000095
1,2025/06/18,テストドラッグ,-10961,テストカード,日用品,日用品,,0,MF000096
1,2025/06/19,テスト電力,-9031,テスト銀行 本人普通,水道・光熱費,電気代,,0,MF000097
1,2025/06/20,テストガス,-7847,テスト銀行 本人普通,水道・光熱費,ガス・水道,,0,MF000098
1,2025/06/21,テストモバイル,-8981,テストカード,通信費,携帯電話,,0,MF000099
1,2025/06/22,テスト不動産 家賃,-128000,テスト銀行 本人普通,住宅,家賃,,0,MF000100
1,2025/06/03,テスト書店,-3259,テストカード,趣味・娯楽,書籍,,0,MF000101
1,2025/06/04,テスト交通 IC チャージ,-5106,テストカード,交通費,電車,,0,MF000102
1,2025/06/10,Anthropic Claude 月額,-3000,テストカード,通信費,サブスク,,0,MF000103
1,2025/06/10,GitHub 月額,-1800,テストカード,通信費,サブスク,,0,MF000104
1,2025/06/10,Adobe CC 月額,-6480,テストカード,通信費,サブスク,,0,MF000105
1,2025/06/10,Notion 月額,-1200,テストカード,通信費,サブスク,,0,MF000106
1,2025/06/26,カード引落,-150000,テスト銀行 本人普通,その他,振替,,1,MF000107
0,2025/06/26,集計対象外テスト行,-9999,テスト銀行 本人普通,その他,未分類,,0,MF000108
1,2025/07/25,テスト商事 給与,285000,テスト銀行 本人普通,収入,給与,,0,MF000109
1,2025/07/25,テスト工業 給与,182000,テスト銀行 配偶者普通,収入,給与,,0,MF000110
1,2025/07/15,テストクライアント 入金,305718,テスト銀行 本人普通,収入,事業収入,,0,MF000111
1,2025/07/14,テストスーパー,-58303,テストカード,食費,食料品,,0,MF000112
1,2025/07/15,テスト食堂,-20617,テストカード,食費,外食,,0,MF000113
1,2025/07/16,テストドラッグ,-10913,テストカード,日用品,日用品,,0,MF000114
1,2025/07/17,テスト電力,-12994,テスト銀行 本人普通,水道・光熱費,電気代,,0,MF000115
1,2025/07/18,テストガス,-7590,テスト銀行 本人普通,水道・光熱費,ガス・水道,,0,MF000116
1,2025/07/19,テストモバイル,-8685,テストカード,通信費,携帯電話,,0,MF000117
1,2025/07/20,テスト不動産 家賃,-128000,テスト銀行 本人普通,住宅,家賃,,0,MF000118
1,2025/07/21,テスト書店,-5279,テストカード,趣味・娯楽,書籍,,0,MF000119
1,2025/07/22,テスト交通 IC チャージ,-6740,テストカード,交通費,電車,,0,MF000120
1,2025/07/10,Anthropic Claude 月額,-3000,テストカード,通信費,サブスク,,0,MF000121
1,2025/07/10,GitHub 月額,-1800,テストカード,通信費,サブスク,,0,MF000122
1,2025/07/10,Adobe CC 月額,-6480,テストカード,通信費,サブスク,,0,MF000123
1,2025/07/10,Notion 月額,-1200,テストカード,通信費,サブスク,,0,MF000124
1,2025/07/26,カード引落,-150000,テスト銀行 本人普通,その他,振替,,1,MF000125
0,2025/07/26,集計対象外テスト行,-9999,テスト銀行 本人普通,その他,未分類,,0,MF000126
1,2025/08/25,テスト商事 給与,285000,テスト銀行 本人普通,収入,給与,,0,MF000127
1,2025/08/25,テスト工業 給与,182000,テスト銀行 配偶者普通,収入,給与,,0,MF000128
1,2025/08/15,テストクライアント 入金,303234,テスト銀行 本人普通,収入,事業収入,,0,MF000129
1,2025/08/12,テストスーパー,-64483,テストカード,食費,食料品,,0,MF000130
1,2025/08/13,テスト食堂,-16932,テストカード,食費,外食,,0,MF000131
1,2025/08/14,テストドラッグ,-8416,テストカード,日用品,日用品,,0,MF000132
1,2025/08/15,テスト電力,-9579,テスト銀行 本人普通,水道・光熱費,電気代,,0,MF000133
1,2025/08/16,テストガス,-6183,テスト銀行 本人普通,水道・光熱費,ガス・水道,,0,MF000134
1,2025/08/17,テストモバイル,-8594,テストカード,通信費,携帯電話,,0,MF000135
1,2025/08/18,テスト不動産 家賃,-128000,テスト銀行 本人普通,住宅,家賃,,0,MF000136
1,2025/08/19,テスト書店,-3706,テストカード,趣味・娯楽,書籍,,0,MF000137
1,2025/08/20,テスト交通 IC チャージ,-6856,テストカード,交通費,電車,,0,MF000138
1,2025/08/10,Anthropic Claude 月額,-3000,テストカード,通信費,サブスク,,0,MF000139
1,2025/08/10,GitHub 月額,-1800,テストカード,通信費,サブスク,,0,MF000140
1,2025/08/10,Adobe CC 月額,-6480,テストカード,通信費,サブスク,,0,MF000141
1,2025/08/10,Notion 月額,-1200,テストカード,通信費,サブスク,,0,MF000142
1,2025/08/26,カード引落,-150000,テスト銀行 本人普通,その他,振替,,1,MF000143
0,2025/08/26,集計対象外テスト行,-9999,テスト銀行 本人普通,その他,未分類,,0,MF000144
1,2025/09/25,テスト商事 給与,285000,テスト銀行 本人普通,収入,給与,,0,MF000145
1,2025/09/25,テスト工業 給与,182000,テスト銀行 配偶者普通,収入,給与,,0,MF000146
1,2025/09/15,テストクライアント 入金,480000,テスト銀行 本人普通,収入,事業収入,,0,MF000147
1,2025/09/10,テストスーパー,-58764,テストカード,食費,食料品,,0,MF000148
1,2025/09/11,テスト食堂,-15071,テストカード,食費,外食,,0,MF000149
1,2025/09/12,テストドラッグ,-9947,テストカード,日用品,日用品,,0,MF000150
1,2025/09/13,テスト電力,-10968,テスト銀行 本人普通,水道・光熱費,電気代,,0,MF000151
1,2025/09/14,テストガス,-7876,テスト銀行 本人普通,水道・光熱費,ガス・水道,,0,MF000152
1,2025/09/15,テストモバイル,-8878,テストカード,通信費,携帯電話,,0,MF000153
1,2025/09/16,テスト不動産 家賃,-128000,テスト銀行 本人普通,住宅,家賃,,0,MF000154
1,2025/09/17,テスト書店,-3315,テストカード,趣味・娯楽,書籍,,0,MF000155
1,2025/09/18,テスト交通 IC チャージ,-6263,テストカード,交通費,電車,,0,MF000156
1,2025/09/10,Anthropic Claude 月額,-3000,テストカード,通信費,サブスク,,0,MF000157
1,2025/09/10,GitHub 月額,-1800,テストカード,通信費,サブスク,,0,MF000158
1,2025/09/10,Adobe CC 月額,-6480,テストカード,通信費,サブスク,,0,MF000159
1,2025/09/10,Notion 月額,-1200,テストカード,通信費,サブスク,,0,MF000160
1,2025/09/26,カード引落,-150000,テスト銀行 本人普通,その他,振替,,1,MF000161
0,2025/09/26,集計対象外テスト行,-9999,テスト銀行 本人普通,その他,未分類,,0,MF000162
1,2025/10/25,テスト商事 給与,285000,テスト銀行 本人普通,収入,給与,,0,MF000163
1,2025/10/25,テスト工業 給与,182000,テスト銀行 配偶者普通,収入,給与,,0,MF000164
1,2025/10/15,テストクライアント 入金,274866,テスト銀行 本人普通,収入,事業収入,,0,MF000165
1,2025/10/08,テストスーパー,-56004,テストカード,食費,食料品,,0,MF000166
1,2025/10/09,テスト食堂,-21990,テストカード,食費,外食,,0,MF000167
1,2025/10/10,テストドラッグ,-9808,テストカード,日用品,日用品,,0,MF000168
1,2025/10/11,テスト電力,-9785,テスト銀行 本人普通,水道・光熱費,電気代,,0,MF000169
1,2025/10/12,テストガス,-8081,テスト銀行 本人普通,水道・光熱費,ガス・水道,,0,MF000170
1,2025/10/13,テストモバイル,-8825,テストカード,通信費,携帯電話,,0,MF000171
1,2025/10/14,テスト不動産 家賃,-128000,テスト銀行 本人普通,住宅,家賃,,0,MF000172
1,2025/10/15,テスト書店,-2971,テストカード,趣味・娯楽,書籍,,0,MF000173
1,2025/10/16,テスト交通 IC チャージ,-6145,テストカード,交通費,電車,,0,MF000174
1,2025/10/10,Anthropic Claude 月額,-3000,テストカード,通信費,サブスク,,0,MF000175
1,2025/10/10,GitHub 月額,-1800,テストカード,通信費,サブスク,,0,MF000176
1,2025/10/10,Adobe CC 月額,-6480,テストカード,通信費,サブスク,,0,MF000177
1,2025/10/10,Notion 月額,-1200,テストカード,通信費,サブスク,,0,MF000178
1,2025/10/26,カード引落,-150000,テスト銀行 本人普通,その他,振替,,1,MF000179
0,2025/10/26,集計対象外テスト行,-9999,テスト銀行 本人普通,その他,未分類,,0,MF000180
1,2025/11/25,テスト商事 給与,285000,テスト銀行 本人普通,収入,給与,,0,MF000181
1,2025/11/25,テスト工業 給与,182000,テスト銀行 配偶者普通,収入,給与,,0,MF000182
1,2025/11/15,テストクライアント 入金,288051,テスト銀行 本人普通,収入,事業収入,,0,MF000183
1,2025/11/06,テストスーパー,-58645,テストカード,食費,食料品,,0,MF000184
1,2025/11/07,テスト食堂,-14183,テストカード,食費,外食,,0,MF000185
1,2025/11/08,テストドラッグ,-10332,テストカード,日用品,日用品,,0,MF000186
1,2025/11/09,テスト電力,-11922,テスト銀行 本人普通,水道・光熱費,電気代,,0,MF000187
1,2025/11/10,テストガス,-6175,テスト銀行 本人普通,水道・光熱費,ガス・水道,,0,MF000188
1,2025/11/11,テストモバイル,-8704,テストカード,通信費,携帯電話,,0,MF000189
1,2025/11/12,テスト不動産 家賃,-128000,テスト銀行 本人普通,住宅,家賃,,0,MF000190
1,2025/11/13,テスト書店,-4959,テストカード,趣味・娯楽,書籍,,0,MF000191
1,2025/11/14,テスト交通 IC チャージ,-6383,テストカード,交通費,電車,,0,MF000192
1,2025/11/10,Anthropic Claude 月額,-3000,テストカード,通信費,サブスク,,0,MF000193
1,2025/11/10,GitHub 月額,-1800,テストカード,通信費,サブスク,,0,MF000194
1,2025/11/10,Adobe CC 月額,-6480,テストカード,通信費,サブスク,,0,MF000195
1,2025/11/10,Notion 月額,-1200,テストカード,通信費,サブスク,,0,MF000196
1,2025/11/26,カード引落,-150000,テスト銀行 本人普通,その他,振替,,1,MF000197
0,2025/11/26,集計対象外テスト行,-9999,テスト銀行 本人普通,その他,未分類,,0,MF000198
1,2025/12/25,テスト商事 給与,285000,テスト銀行 本人普通,収入,給与,,0,MF000199
1,2025/12/25,テスト工業 給与,182000,テスト銀行 配偶者普通,収入,給与,,0,MF000200
1,2025/12/15,テストクライアント 入金,480000,テスト銀行 本人普通,収入,事業収入,,0,MF000201
1,2025/12/04,テストスーパー,-65988,テストカード,食費,食料品,,0,MF000202
1,2025/12/05,テスト食堂,-14299,テストカード,食費,外食,,0,MF000203
1,2025/12/06,テストドラッグ,-10665,テストカード,日用品,日用品,,0,MF000204
1,2025/12/07,テスト電力,-11858,テスト銀行 本人普通,水道・光熱費,電気代,,0,MF000205
1,2025/12/08,テストガス,-6238,テスト銀行 本人普通,水道・光熱費,ガス・水道,,0,MF000206
1,2025/12/09,テストモバイル,-9037,テストカード,通信費,携帯電話,,0,MF000207
1,2025/12/10,テスト不動産 家賃,-128000,テスト銀行 本人普通,住宅,家賃,,0,MF000208
1,2025/12/11,テスト書店,-2761,テストカード,趣味・娯楽,書籍,,0,MF000209
1,2025/12/12,テスト交通 IC チャージ,-5736,テストカード,交通費,電車,,0,MF000210
1,2025/12/10,Anthropic Claude 月額,-3000,テストカード,通信費,サブスク,,0,MF000211
1,2025/12/10,GitHub 月額,-1800,テストカード,通信費,サブスク,,0,MF000212
1,2025/12/10,Adobe CC 月額,-6480,テストカード,通信費,サブスク,,0,MF000213
1,2025/12/10,Notion 月額,-1200,テストカード,通信費,サブスク,,0,MF000214
1,2025/12/26,カード引落,-150000,テスト銀行 本人普通,その他,振替,,1,MF000215
0,2025/12/26,集計対象外テスト行,-9999,テスト銀行 本人普通,その他,未分類,,0,MF000216
1,2026/01/25,テスト商事 給与,285000,テスト銀行 本人普通,収入,給与,,0,MF000217
1,2026/01/25,テスト工業 給与,182000,テスト銀行 配偶者普通,収入,給与,,0,MF000218
1,2026/01/15,テストクライアント 入金,251628,テスト銀行 本人普通,収入,事業収入,,0,MF000219
1,2026/01/22,テストスーパー,-64617,テストカード,食費,食料品,,0,MF000220
1,2026/01/03,テスト食堂,-21622,テストカード,食費,外食,,0,MF000221
1,2026/01/04,テストドラッグ,-7867,テストカード,日用品,日用品,,0,MF000222
1,2026/01/05,テスト電力,-12533,テスト銀行 本人普通,水道・光熱費,電気代,,0,MF000223
1,2026/01/06,テストガス,-6900,テスト銀行 本人普通,水道・光熱費,ガス・水道,,0,MF000224
1,2026/01/07,テストモバイル,-8875,テストカード,通信費,携帯電話,,0,MF000225
1,2026/01/08,テスト不動産 家賃,-128000,テスト銀行 本人普通,住宅,家賃,,0,MF000226
1,2026/01/09,テスト書店,-5679,テストカード,趣味・娯楽,書籍,,0,MF000227
1,2026/01/10,テスト交通 IC チャージ,-5465,テストカード,交通費,電車,,0,MF000228
1,2026/01/10,Anthropic Claude 月額,-3000,テストカード,通信費,サブスク,,0,MF000229
1,2026/01/10,GitHub 月額,-1800,テストカード,通信費,サブスク,,0,MF000230
1,2026/01/10,Adobe CC 月額,-6480,テストカード,通信費,サブスク,,0,MF000231
1,2026/01/10,Notion 月額,-1200,テストカード,通信費,サブスク,,0,MF000232
1,2026/01/26,カード引落,-150000,テスト銀行 本人普通,その他,振替,,1,MF000233
0,2026/01/26,集計対象外テスト行,-9999,テスト銀行 本人普通,その他,未分類,,0,MF000234
1,2026/02/25,テスト商事 給与,285000,テスト銀行 本人普通,収入,給与,,0,MF000235
1,2026/02/25,テスト工業 給与,182000,テスト銀行 配偶者普通,収入,給与,,0,MF000236
1,2026/02/15,テストクライアント 入金,254400,テスト銀行 本人普通,収入,事業収入,,0,MF000237
1,2026/02/20,テストスーパー,-66529,テストカード,食費,食料品,,0,MF000238
1,2026/02/21,テスト食堂,-19996,テストカード,食費,外食,,0,MF000239
1,2026/02/22,テストドラッグ,-8849,テストカード,日用品,日用品,,0,MF000240
1,2026/02/03,テスト電力,-11605,テスト銀行 本人普通,水道・光熱費,電気代,,0,MF000241
1,2026/02/04,テストガス,-7259,テスト銀行 本人普通,水道・光熱費,ガス・水道,,0,MF000242
1,2026/02/05,テストモバイル,-8689,テストカード,通信費,携帯電話,,0,MF000243
1,2026/02/06,テスト不動産 家賃,-128000,テスト銀行 本人普通,住宅,家賃,,0,MF000244
1,2026/02/07,テスト書店,-5346,テストカード,趣味・娯楽,書籍,,0,MF000245
1,2026/02/08,テスト交通 IC チャージ,-5019,テストカード,交通費,電車,,0,MF000246
1,2026/02/10,Anthropic Claude 月額,-3000,テストカード,通信費,サブスク,,0,MF000247
1,2026/02/10,GitHub 月額,-1800,テストカード,通信費,サブスク,,0,MF000248
1,2026/02/10,Adobe CC 月額,-6480,テストカード,通信費,サブスク,,0,MF000249
1,2026/02/10,Notion 月額,-1200,テストカード,通信費,サブスク,,0,MF000250
1,2026/02/26,カード引落,-150000,テスト銀行 本人普通,その他,振替,,1,MF000251
0,2026/02/26,集計対象外テスト行,-9999,テスト銀行 本人普通,その他,未分類,,0,MF000252
1,2026/03/25,テスト商事 給与,285000,テスト銀行 本人普通,収入,給与,,0,MF000253
1,2026/03/25,テスト工業 給与,182000,テスト銀行 配偶者普通,収入,給与,,0,MF000254
1,2026/03/15,テストクライアント 入金,480000,テスト銀行 本人普通,収入,事業収入,,0,MF000255
1,2026/03/18,テストスーパー,-63259,テストカード,食費,食料品,,0,MF000256
1,2026/03/19,テスト食堂,-18955,テストカード,食費,外食,,0,MF000257
1,2026/03/20,テストドラッグ,-9848,テストカード,日用品,日用品,,0,MF000258
1,2026/03/21,テスト電力,-11159,テスト銀行 本人普通,水道・光熱費,電気代,,0,MF000259
1,2026/03/22,テストガス,-7520,テスト銀行 本人普通,水道・光熱費,ガス・水道,,0,MF000260
1,2026/03/03,テストモバイル,-9099,テストカード,通信費,携帯電話,,0,MF000261
1,2026/03/04,テスト不動産 家賃,-128000,テスト銀行 本人普通,住宅,家賃,,0,MF000262
1,2026/03/05,テスト書店,-5343,テストカード,趣味・娯楽,書籍,,0,MF000263
1,2026/03/06,テスト交通 IC チャージ,-6928,テストカード,交通費,電車,,0,MF000264
1,2026/03/10,Anthropic Claude 月額,-3000,テストカード,通信費,サブスク,,0,MF000265
1,2026/03/10,GitHub 月額,-1800,テストカード,通信費,サブスク,,0,MF000266
1,2026/03/10,Adobe CC 月額,-6480,テストカード,通信費,サブスク,,0,MF000267
1,2026/03/10,Notion 月額,-1200,テストカード,通信費,サブスク,,0,MF000268
1,2026/03/26,カード引落,-150000,テスト銀行 本人普通,その他,振替,,1,MF000269
0,2026/03/26,集計対象外テスト行,-9999,テスト銀行 本人普通,その他,未分類,,0,MF000270
1,2026/04/25,テスト商事 給与,285000,テスト銀行 本人普通,収入,給与,,0,MF000271
1,2026/04/25,テスト工業 給与,182000,テスト銀行 配偶者普通,収入,給与,,0,MF000272
1,2026/04/15,テストクライアント 入金,254031,テスト銀行 本人普通,収入,事業収入,,0,MF000273
1,2026/04/16,テストスーパー,-59865,テストカード,食費,食料品,,0,MF000274
1,2026/04/17,テスト食堂,-15871,テストカード,食費,外食,,0,MF000275
1,2026/04/18,テストドラッグ,-10405,テストカード,日用品,日用品,,0,MF000276
1,2026/04/19,テスト電力,-11701,テスト銀行 本人普通,水道・光熱費,電気代,,0,MF000277
1,2026/04/20,テストガス,-7552,テスト銀行 本人普通,水道・光熱費,ガス・水道,,0,MF000278
1,2026/04/21,テストモバイル,-8606,テストカード,通信費,携帯電話,,0,MF000279
1,2026/04/22,テスト不動産 家賃,-128000,テスト銀行 本人普通,住宅,家賃,,0,MF000280
1,2026/04/03,テスト書店,-4019,テストカード,趣味・娯楽,書籍,,0,MF000281
1,2026/04/04,テスト交通 IC チャージ,-5510,テストカード,交通費,電車,,0,MF000282
1,2026/04/10,Anthropic Claude 月額,-3000,テストカード,通信費,サブスク,,0,MF000283
1,2026/04/10,GitHub 月額,-1800,テストカード,通信費,サブスク,,0,MF000284
1,2026/04/10,Adobe CC 月額,-6480,テストカード,通信費,サブスク,,0,MF000285
1,2026/04/10,Notion 月額,-1200,テストカード,通信費,サブスク,,0,MF000286
1,2026/04/26,カード引落,-150000,テスト銀行 本人普通,その他,振替,,1,MF000287
0,2026/04/26,集計対象外テスト行,-9999,テスト銀行 本人普通,その他,未分類,,0,MF000288
1,2026/05/25,テスト商事 給与,285000,テスト銀行 本人普通,収入,給与,,0,MF000289
1,2026/05/25,テスト工業 給与,182000,テスト銀行 配偶者普通,収入,給与,,0,MF000290
1,2026/05/15,テストクライアント 入金,301146,テスト銀行 本人普通,収入,事業収入,,0,MF000291
1,2026/05/14,テストスーパー,-60054,テストカード,食費,食料品,,0,MF000292
1,2026/05/15,テスト食堂,-21118,テストカード,食費,外食,,0,MF000293
1,2026/05/16,テストドラッグ,-11203,テストカード,日用品,日用品,,0,MF000294
1,2026/05/17,テスト電力,-11223,テスト銀行 本人普通,水道・光熱費,電気代,,0,MF000295
1,2026/05/18,テストガス,-6905,テスト銀行 本人普通,水道・光熱費,ガス・水道,,0,MF000296
1,2026/05/19,テストモバイル,-8705,テストカード,通信費,携帯電話,,0,MF000297
1,2026/05/20,テスト不動産 家賃,-128000,テスト銀行 本人普通,住宅,家賃,,0,MF000298
1,2026/05/21,テスト書店,-4403,テストカード,趣味・娯楽,書籍,,0,MF000299
1,2026/05/22,テスト交通 IC チャージ,-5508,テストカード,交通費,電車,,0,MF000300
1,2026/05/10,Anthropic Claude 月額,-36000,テストカード,通信費,サブスク,,0,MF000301
1,2026/05/10,GitHub 月額,-1800,テストカード,通信費,サブスク,,0,MF000302
